Gene	C_L_HS37	C_L_HS38	H_L_HS46	C_M_HS61	C_M_HS62	H_L_HS64	H_L_HS65	H_M_HS66	H_M_HS67	C_M_HS87	C_L_HS90	H_M_HS93
LOC116519253	107	32	57	67	17	33	35	50	67	19	46	46
ZBTB7A	77	13	37	9	2	23	10	16	34	8	6	11
ZBTB7C	0	0	0	0	0	0	0	0	8	0	0	0
LOC116519257	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508543	0	1	0	0	0	0	0	0	0	0	0	0
RGS7BP	6	3	3	2	0	9	1	0	5	0	0	0
LOC116523419	8	0	6	0	0	0	0	0	0	0	0	0
UBR2	538	264	308	188	35	292	124	234	43	31	167	219
LOC116508542	1	0	0	0	0	1	0	0	0	0	0	0
GNAT2	37	13	5	13	5	16	7	15	0	0	2	6
GNAT3	0	0	0	0	0	0	0	0	0	0	0	0
TMEM179	0	0	0	0	0	0	0	0	0	0	0	0
GNAT1	0	0	0	0	0	0	0	0	0	0	0	0
HPS1	188	68	16	83	16	47	36	23	0	3	72	39
HPS3	669	295	147	207	57	287	129	101	87	98	219	145
HPS4	2801	214	301	171	223	350	266	141	455	39	153	52
HPS5	117	57	99	37	6	107	16	75	62	5	24	73
HPS6	280	149	56	91	35	87	43	51	97	60	60	49
LOC116508544	0	0	0	0	0	0	0	0	0	0	0	0
XKR8	585	326	331	247	79	373	309	164	283	86	142	249
XKR9	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521666	0	0	0	0	0	0	0	0	0	0	0	0
GGNBP2	1038	207	161	182	105	243	223	141	261	64	172	156
LOC116508547	1	2	1	1	1	1	1	2	2	1	1	2
LOC116505652	0	0	4	0	0	0	0	0	0	0	0	0
UBLCP1	147	59	55	26	17	71	29	39	2	0	43	36
ABRAXAS2	464	145	119	80	53	151	48	118	107	68	62	60
ABRAXAS1	398	135	149	49	41	201	85	84	45	10	122	125
LOC116508546	0	0	0	0	0	0	0	2	0	0	0	0
XKR4	0	3	6	0	0	3	0	2	0	0	2	0
LOC116505922	0	0	0	0	0	0	0	0	0	0	0	0
PORCN	102	20	0	33	0	7	22	14	13	0	0	11
LOC116502918	0	0	0	0	0	0	0	0	0	0	0	0
LOC116502919	0	0	0	0	0	0	0	0	0	0	0	0
LOC116502914	0	0	0	0	0	0	0	0	0	0	0	0
LOC116502915	0	0	0	0	0	0	0	0	7	0	0	0
LOC116502916	0	0	0	0	0	0	0	0	0	0	0	0
LOC116502910	2165	383	534	782	261	281	605	765	402	299	712	800
SAV1	105	42	84	23	4	76	39	35	108	6	42	39
LOC116502912	0	0	0	0	0	0	0	0	0	0	0	0
LOC116502913	0	0	0	0	0	0	0	0	0	0	0	0
RAB38	277	0	4	50	0	36	3	17	0	30	2	0
OMP	0	0	0	0	0	0	0	0	0	0	0	0
NEBL	5	0	9	3	0	0	3	0	0	0	0	0
ZPBP	0	0	0	0	0	0	0	0	0	0	0	0
RAB32	136	44	122	64	18	54	39	35	22	5	43	24
LOC116505923	0	0	0	0	0	0	0	0	1	0	0	1
RAB34	42	0	5	14	2	24	9	9	8	0	5	5
ATPAF2	1294	492	459	457	190	553	474	352	403	191	299	442
ATPAF1	1848	995	603	649	279	1016	497	518	395	249	532	556
RAB37	120	57	52	47	15	210	64	58	17	20	36	44
CRYBG1	23	12	67	4	7	13	12	15	6	0	0	11
G6PC3	10	2	6	0	0	8	2	3	0	0	3	2
LOC116515841	12	6	0	0	19	0	0	4	70	4	6	6
TRNAT-CGU-2	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L11	335	157	209	119	18	136	89	133	66	44	103	107
SGCZ	0	0	0	0	0	0	0	0	0	0	0	0
RAB3A	72	13	29	17	12	10	30	17	69	8	13	13
RAB3B	0	0	0	0	0	0	0	0	0	0	0	0
ASB8	414	165	177	123	46	169	92	150	77	32	185	133
RAB3D	26	5	33	3	0	6	18	5	25	18	14	7
SERPINH1	176	24	364	52	34	444	187	168	296	20	22	111
SGCB	99	119	83	10	0	5	24	15	41	5	98	10
ASB7	47	22	48	29	4	23	24	23	38	0	22	23
SGCA	5	0	0	0	0	0	0	0	0	0	0	0
SLC30A5	1569	677	486	424	171	770	361	434	222	337	374	423
SGCG	27	17	28	4	0	18	16	17	16	0	2	10
TRNAR-UCU-2	0	0	0	0	0	0	0	0	0	0	0	0
SGCE	81	56	27	17	6	29	30	18	0	5	41	19
FARP1	457	142	318	216	42	260	164	149	107	37	60	131
LOC116505924	1	0	0	0	0	0	0	0	0	0	0	0
UBR1	904	380	297	249	86	280	156	271	141	59	319	295
C4H6orf58	0	0	0	0	0	0	0	0	0	0	0	0
DEUP1	64	33	12	9	0	4	0	30	0	0	8	14
FBXO38	392	191	155	141	30	176	97	143	58	33	153	126
LOC116518128	196	83	138	100	24	102	104	55	100	9	67	62
DDX27	1431	184	297	152	142	199	235	104	651	21	208	114
LOC116514463	1	1	0	1	1	0	1	0	1	1	1	1
FBXO30	774	309	318	246	58	285	190	216	221	76	181	180
LOC116514461	0	1	0	1	1	1	1	0	1	1	1	1
LOC116514460	1	1	0	1	2	1	1	1	1	1	1	1
LOC116514467	1	1	0	1	1	1	1	1	1	1	1	1
FBXO34	344	140	106	72	28	166	111	108	127	36	89	64
FBXO36	13	6	4	0	0	0	6	0	2	0	0	0
XKRX	86	12	25	4	3	65	28	44	132	11	13	6
ETNK2	0	0	0	0	0	0	0	0	0	0	0	0
GEN1	15	40	0	2	0	14	6	3	0	0	7	3
KHSRP	1715	398	554	335	155	507	351	245	438	150	292	318
ETFB	2627	480	405	387	247	545	731	343	525	234	264	355
LOC116507220	0	0	0	0	0	0	0	1	0	0	1	0
CTCFL	0	0	0	0	0	0	0	0	0	0	0	0
PEX26	185	75	37	41	25	65	64	32	32	8	38	23
NIPAL2	0	0	8	0	0	0	0	0	0	0	0	0
GMPPA	523	134	131	151	57	138	99	102	275	52	149	126
DCUN1D1	394	180	102	123	65	209	65	103	51	75	85	132
GHRH	65	26	49	37	18	49	23	32	0	34	41	14
SLC3A2	42799	7092	2992	1271	1626	3399	3048	1999	10865	862	1761	2905
POU2F3	2	0	0	0	0	0	0	0	0	0	0	0
ERICH2	0	0	0	0	0	0	0	0	0	0	0	0
POU2F1	196	63	72	43	25	104	31	49	52	12	39	67
LARGE2	1672	449	470	467	91	511	333	667	431	278	399	480
ARRDC1	206	118	162	80	46	158	181	198	227	45	59	94
ARRDC3	1434	640	1301	263	205	534	625	1265	119	288	586	1796
AHR	357	216	182	206	43	194	73	166	78	49	90	215
ICE2	250	76	74	57	14	168	50	69	104	0	39	94
ARRDC4	1425	732	371	571	165	625	321	587	469	268	365	531
SKA2	100	12	17	21	11	30	15	22	0	0	23	18
SKA3	0	0	0	0	0	0	0	3	0	0	0	0
MC2R	0	0	0	0	0	0	0	0	0	0	0	0
LOC116513118	1803	546	372	767	333	667	825	796	265	366	730	592
RASL10A	0	0	0	0	0	0	0	0	0	0	0	0
USF1	2618	329	404	290	249	411	397	217	347	131	264	128
CROT	1025	598	260	532	191	359	406	746	115	214	475	519
LOC116523506	0	0	0	0	0	0	0	0	0	0	0	0
FXYD6	955	64	115	169	139	198	123	0	288	4	78	29
DCUN1D4	776	328	216	273	72	275	138	204	61	182	231	212
LOC116513444	11	8	9	0	0	5	2	8	0	0	5	10
LOC116513445	16	9	5	0	4	13	3	4	0	0	6	0
LOC116513446	11	2	5	6	0	4	0	0	0	6	4	3
STEAP1	17	16	23	6	0	9	6	9	47	0	11	15
LOC116522303	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508556	2	2	3	0	1	0	2	2	0	0	1	1
LOC116522300	0	0	0	0	0	0	0	0	0	0	0	0
LOC116522307	784	413	152	318	90	484	260	625	55	247	193	298
RAB5IF	618	210	181	156	69	253	94	138	27	75	120	123
SPTY2D1	231	120	155	63	27	116	55	108	37	12	83	91
LOC116518346	0	0	0	0	0	0	0	0	0	0	0	0
LOC116522658	4	1	5	3	1	4	4	1	11	1	1	2
SAMD1	207	66	40	25	16	55	32	26	85	0	29	24
TNNI2	0	0	0	0	0	0	8	0	0	0	0	0
RTBDN	0	5	0	0	0	3	5	8	0	0	0	3
LOC116518340	0	0	0	0	0	0	0	14	0	0	0	8
LOC116518341	0	0	0	0	0	0	0	0	0	0	0	0
RAMP2	299	103	243	58	22	107	27	115	77	44	50	84
LOC116504400	12	0	0	0	0	0	0	0	0	0	2	0
LOC116521718	0	0	0	0	0	0	0	0	0	0	0	0
EPHA3	0	0	0	0	0	0	0	2	0	0	0	0
EPHA4	14	3	13	12	0	12	5	5	0	0	5	5
EPHA5	0	0	0	0	0	0	0	0	0	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0	0	0	0
COL14A1	3	0	4	2	0	4	0	12	0	0	0	0
LOC116506592	47	20	42	13	6	39	10	33	22	0	16	21
LOC116521405	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521443	0	0	0	0	0	0	0	0	0	0	0	0
LOC116524079	0	0	0	0	0	0	0	0	0	0	0	0
NPL	244	51	66	51	6	70	36	38	27	0	76	75
REEP6	0	0	0	0	0	0	0	0	0	0	0	0
FRY	2318	740	266	537	108	316	342	474	282	157	294	583
LOC116515916	13	5	9	0	0	11	5	0	0	0	0	0
AASDH	80	17	15	19	4	18	23	16	0	0	4	12
CRYBA2	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520260	62	15	11	13	7	11	12	12	0	0	8	8
TRPA1	0	0	0	0	0	0	0	0	0	0	0	0
LOC116512828	0	0	0	0	0	0	0	1	0	1	0	0
BFAR	1319	244	200	210	106	284	296	145	321	83	131	112
C16H9orf78	738	216	190	228	111	206	210	119	250	121	169	172
UBR4	6002	754	744	550	248	677	480	409	1071	87	561	408
RBM11	30	4	0	0	0	9	0	0	0	0	11	0
LOC116519215	33	8	11	5	0	16	8	10	0	0	7	7
FRK	64	32	70	32	6	45	49	147	0	10	34	47
LOC116523504	0	0	0	0	0	0	0	0	0	0	0	0
LOC116502676	17	0	7	0	0	10	2	3	0	0	2	0
LOC116504407	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503795	0	0	0	0	0	0	0	0	0	0	0	0
RANBP1	902	389	365	277	90	380	101	231	140	96	236	188
FGF1	11	0	0	0	0	5	3	8	0	2	0	0
RANBP3	493	199	165	202	55	201	116	178	29	80	156	183
ATP2B1	139	54	188	44	12	109	59	117	39	0	26	76
ATP2B2	0	0	0	0	0	0	3	0	0	0	0	0
ATP2B3	0	0	0	0	0	0	0	0	0	0	0	0
RANBP9	2713	731	572	296	203	603	388	427	384	217	356	346
EDAR	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503799	5	0	4	3	0	4	4	4	0	0	0	5
MPHOSPH10	586	124	202	87	87	159	123	85	273	68	101	68
LOC116520849	23261	5447	4886	5506	2258	4493	4218	6829	5296	4117	4706	6924
LOC116508362	0	0	0	0	0	0	0	0	0	0	0	0
MXI1	835	269	248	153	64	260	112	156	113	71	141	148
LOC116520268	20	0	0	0	0	0	0	0	0	0	0	0
LOC116518692	778	98	95	61	44	119	93	37	144	0	29	20
AP3B1	300	116	170	73	25	151	44	100	0	11	115	119
C1H11orf94	32	0	7	7	0	4	4	10	0	0	5	6
PLEKHG4	57	19	16	16	0	18	8	14	23	0	28	22
LOC116514945	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523010	130	39	39	25	4	40	31	26	8	13	26	30
BSG	16825	7354	4788	3911	3363	7808	6216	5676	6794	4272	4479	6090
PNPO	366	249	180	142	51	229	155	169	67	73	184	181
PMEL	37	4	11	4	0	11	16	4	9	0	0	0
LOC116523014	0	2	59	0	0	0	23	0	133	0	0	0
MC5R	2	0	0	0	2	0	0	0	0	0	0	1
FAM32A	619	257	195	148	119	294	133	198	100	76	180	147
MGP	233	50	349	47	17	192	157	135	249	81	104	92
RAMP1	290	220	86	356	83	60	119	245	25	130	81	142
LOC116512534	47	16	26	12	6	18	15	14	5	4	24	11
LOC116512531	6	0	21	0	0	30	0	5	0	0	0	9
AHDC1	283	58	122	47	22	76	36	46	175	32	34	41
CHUK	1579	361	267	387	174	289	395	319	740	108	236	269
TULP4	783	207	296	149	50	269	122	193	190	62	147	191
KIAA1191	476	201	139	132	55	98	94	105	16	97	100	63
TULP1	7	3	0	0	0	0	0	0	0	0	0	0
PXN	333	101	93	59	32	95	71	90	160	22	53	97
TULP2	403	122	136	180	46	152	183	98	120	97	111	99
LOC116506561	147	75	53	80	21	87	60	53	20	70	44	72
MGA	561	202	200	128	34	298	120	235	27	42	167	178
LOC116506563	0	0	0	0	0	0	0	0	0	0	0	0
LOC116516703	0	0	0	0	0	0	0	0	0	0	0	0
NDUFC1	101	14	28	30	12	35	13	18	0	0	15	11
FUT11	191	40	41	25	20	66	42	24	51	6	26	41
LOC116503449	44	19	6	6	0	15	2	4	24	0	10	10
LOC116524090	0	0	0	0	0	0	0	0	0	0	0	0
CNNM3	2343	521	336	307	174	429	433	237	572	124	235	229
LOC116517342	0	0	3	0	0	0	5	0	0	0	0	0
LOC116502720	0	0	0	0	0	0	0	0	0	0	0	0
TEAD2	173	86	91	107	27	120	75	92	51	42	88	65
KTI12	69	9	9	8	5	11	3	2	19	0	3	8
LOC116509627	79	36	27	17	0	44	8	0	30	0	45	10
LOC116521878	0	0	0	0	0	0	0	0	0	0	0	0
WSB2	389	151	90	113	70	141	27	126	328	110	76	22
LOC116509622	0	0	0	0	0	3	0	2	0	0	2	1
LOC116521879	0	0	0	0	0	0	0	0	0	0	0	0
DNMT3L	0	0	0	0	0	0	0	0	0	0	0	0
PDZD11	161	62	70	63	23	63	54	40	66	9	37	38
ATP8B1	0	0	5	0	0	3	3	0	0	0	0	0
TRNAE-UUC-9	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC-8	0	0	0	0	0	0	0	0	0	0	0	0
PFDN6	633	62	108	155	86	123	124	78	219	52	69	105
TRNAE-UUC-6	0	0	0	1	0	0	0	0	0	0	0	0
TRNAE-UUC-5	0	0	0	1	0	0	0	0	0	0	0	0
PFDN5	1641	397	485	452	172	411	417	278	303	251	284	351
TRNAE-UUC-3	0	0	0	1	0	0	0	0	0	0	0	0
TRNAE-UUC-2	0	0	0	1	0	0	0	0	0	0	0	0
PFDN1	247	50	71	58	16	76	47	59	129	43	73	43
LPAR5	3	0	18	0	0	27	7	3	6	0	0	4
LPAR4	97	35	37	31	0	58	46	22	62	10	19	26
RBM17	131	18	45	10	5	23	12	16	34	0	13	15
LOC116520370	0	0	0	0	0	0	0	0	0	0	1	1
KIAA0825	26	0	15	6	6	5	2	9	0	0	4	7
LPAR3	0	0	17	0	0	0	11	0	0	0	0	0
LPAR2	3	2	0	3	0	10	7	10	0	0	3	2
LOC116519660	78	0	21	0	14	0	128	26	32	0	0	52
LOC116524098	290	513	502	367	169	165	207	119	273	124	128	183
LOC116516344	0	0	0	0	0	0	0	0	0	0	0	0
PARP1	544	178	208	170	50	259	179	119	283	16	165	210
LOC116523556	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504208	243	118	97	44	36	149	83	62	74	16	55	86
LOC116509450	0	0	0	0	0	2	0	0	0	0	0	0
LOC116516343	0	0	0	0	0	0	0	0	0	0	0	0
LOC116506304	0	0	0	0	0	0	0	0	0	0	0	0
LOC116506307	1216	843	431	611	229	685	508	624	418	377	414	575
LOC116506306	0	0	0	0	0	0	0	0	0	0	0	0
PTK6	0	0	6	0	0	3	0	0	4	0	0	0
LOC116506303	47	11	3	3	8	16	10	0	21	0	0	8
LOC116518798	4	0	0	0	0	0	0	0	0	0	0	0
LOC116514534	928	62	83	99	57	125	27	82	138	0	47	34
TMED8	76	16	17	21	3	29	9	11	26	4	10	6
GDAP1L1	0	0	0	0	0	0	0	0	0	0	0	0
MGRN1	5619	906	627	609	386	998	802	436	1361	169	490	342
SRRD	563	72	82	56	46	86	97	40	86	24	17	23
SEC61A1	5900	3064	2759	3853	979	2453	2233	2062	1714	1778	2997	2176
DYM	529	274	288	316	95	319	277	201	141	109	301	281
TCTE1	0	0	0	0	0	0	2	0	13	0	0	0
DHX29	237	111	101	78	12	87	28	44	12	23	96	83
LOC116515286	0	0	0	12	3	0	8	0	0	0	28	4
LOC116521403	0	0	0	0	0	0	0	0	0	0	0	0
SMCO1	0	0	0	0	0	0	0	0	0	0	0	0
BSX	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503130	238	50	35	30	29	53	60	34	8	7	33	51
LOC116507042	20	12	15	12	3	21	4	2	8	1	3	5
MTERF3	73	43	52	27	0	36	13	33	16	22	29	28
MTERF2	20	16	7	4	2	16	4	3	0	2	6	5
LOC116503136	559	258	131	185	81	256	84	119	45	150	133	115
SASH1	157	29	120	12	4	76	47	72	79	5	35	24
LOC116507045	6	0	4	0	2	5	9	3	0	0	0	3
CEBPZOS	92	41	47	43	26	73	22	42	0	0	37	34
GLT8D1	105	26	72	32	16	71	33	19	18	19	37	56
RNF225	17	7	25	21	0	24	19	15	15	6	3	4
ZNF282	444	66	65	36	24	66	44	26	58	17	32	24
ZNF281	237	91	152	95	23	109	67	122	112	64	52	148
DNAAF6	55	7	7	0	4	26	11	7	7	8	11	5
UTP18	314	102	97	77	21	118	78	51	50	22	90	74
NFKB2	778	215	171	170	58	210	152	179	258	42	164	213
RNF223	44	2	9	1	0	5	2	0	6	0	0	0
RNF222	2	0	0	0	0	3	0	0	0	0	0	0
PNMT	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518243	413	84	506	160	46	89	145	94	176	10	66	0
LOC116521402	0	0	0	0	0	0	0	0	0	0	0	0
UTP11	1773	205	210	164	87	243	247	108	471	133	159	160
SNX1	0	0	0	0	0	0	0	0	0	0	0	0
NOG	4	0	5	1	0	5	2	2	0	1	1	0
LOC116523074	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518793	489	126	485	103	41	311	1193	515	1257	175	124	272
LOC116514235	0	0	0	0	0	0	0	0	0	0	4	0
NUCB1	831	219	343	243	89	349	385	260	296	199	237	350
RREB1	474	131	206	93	44	194	112	264	151	32	134	178
LOC116510974	0	8	0	0	0	0	0	3	0	0	0	0
LOC116516057	2	0	0	0	0	8	10	1	0	0	2	0
TMBIM6	10113	5339	4023	6194	1519	5776	5045	5114	3732	2622	4138	5175
LOC116510971	4573	1679	982	661	355	1092	837	1095	351	461	592	1220
IKZF4	148	25	14	20	5	33	13	24	6	11	16	19
LOC116510973	2	0	0	0	0	0	0	0	0	0	0	0
LOC116504053	559	144	109	88	36	179	134	100	66	33	117	110
SYBU	27	6	63	9	4	35	19	25	29	0	0	35
USE1	715	287	169	234	91	259	138	171	121	125	158	170
LOC116523752	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520275	51	14	47	4	5	31	12	14	11	0	15	41
LOC116520274	52	22	20	36	12	35	19	21	34	11	12	38
LOC116520277	44	9	6	8	4	10	11	7	10	2	8	11
LOC116520276	167	17	26	10	1	13	16	7	15	0	11	11
FILIP1	159	88	88	51	9	90	49	52	97	34	36	72
PROS1	6249	2164	1450	1523	688	2410	1513	1367	841	978	1744	1855
LOC116520273	102	67	35	32	7	61	40	27	18	15	29	42
FGFRL1	4404	1032	1294	1527	286	1269	873	802	1329	543	1134	1686
LOC116520279	7	0	1	0	1	3	1	0	0	0	2	0
LOC116520278	20	1	1	0	1	2	0	0	3	0	1	0
MYO3A	0	0	0	0	0	0	0	0	0	0	0	0
KDM5C	1170	270	393	217	76	310	272	270	437	22	181	233
KDM5B	1066	498	443	426	125	554	351	595	200	224	366	384
KDM5A	691	188	255	167	38	260	153	195	146	42	165	150
LOC116522448	4	0	0	0	0	3	0	0	0	0	0	0
UBE2L3	213	85	87	75	23	82	49	54	24	25	52	58
LOC116511379	73	71	40	15	0	27	0	14	0	0	22	0
WNT8A	0	0	0	0	0	0	0	0	0	0	0	0
TSNAXIP1	24	4	4	0	0	0	3	0	3	0	0	0
LOC116505108	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519198	68	28	30	22	9	26	10	8	8	30	22	13
LOC116513989	0	0	0	0	0	0	0	0	0	0	0	0
CFAP161	6	3	0	1	0	0	4	0	0	0	0	0
RWDD2A	133	42	65	30	16	72	32	48	21	15	37	29
RWDD2B	189	64	55	48	31	61	28	36	10	23	64	33
TOB2	1743	918	4473	740	208	2932	1693	3624	1280	395	901	1128
NPRL2	319	136	79	86	64	168	92	75	25	56	114	62
NPRL3	678	139	96	63	90	109	106	51	199	7	87	95
PDF	529	122	80	72	53	143	131	73	223	33	81	53
MXRA8	220	103	90	118	19	125	116	133	57	21	39	59
PDC	0	0	0	0	0	0	0	0	0	0	0	0
MEPCE	1985	126	199	73	64	211	207	96	342	22	34	51
MXRA5	0	0	0	0	0	2	0	0	0	0	0	0
PROKR1	0	0	0	0	0	0	0	0	0	0	0	0
TSSK4	6	5	2	0	0	2	6	0	0	0	0	0
LOC116520099	0	0	3	2	7	14	0	29	0	6	3	0
LOC116512649	6	0	0	0	0	0	2	0	0	0	0	0
AASS	1468	572	477	659	215	652	367	502	381	213	736	694
LOC116523657	590	32	29	26	23	49	30	12	46	0	12	8
LOC116520091	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520092	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520095	119	3	6	1	2	3	3	2	4	0	1	2
LOC116521558	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520890	46	0	16	0	8	0	10	2	0	0	3	2
THNSL1	158	121	23	85	24	34	80	66	17	7	91	70
LOC116520897	44	5	7	11	2	6	4	5	5	6	7	7
LOC116520896	293	122	163	118	40	216	150	146	181	31	58	138
LOC116508978	151	42	64	41	4	40	44	19	53	0	26	30
LOC116520898	0	0	0	0	0	0	0	0	0	0	0	0
LOC116506618	0	0	0	0	0	0	0	0	0	0	0	0
PLCXD2	0	0	0	0	0	0	0	0	0	0	0	0
PLCXD3	0	0	0	0	0	0	0	0	0	0	0	0
HOXD11	0	0	0	0	0	0	0	0	0	0	0	0
PLCXD1	130	35	29	20	9	51	19	18	15	12	42	34
LOC116523654	8	0	0	0	0	0	0	0	0	0	0	0
LOC116515618	0	0	0	0	0	0	0	0	0	0	0	0
AKAP17A	132	73	76	37	8	69	38	67	21	20	41	56
LOC116515616	5	2	26	2	3	7	19	1	3	1	1	27
ADARB1	346	111	134	87	16	117	77	128	93	31	79	99
LOC116512139	2829	608	906	351	320	539	488	641	339	398	1265	396
LOC116515610	16	5	0	3	0	0	0	0	0	0	0	0
ARHGAP6	21	10	37	6	2	8	4	6	38	0	13	9
SEPTIN9	1398	583	1053	385	187	711	557	550	448	103	757	402
SEPTIN8	129	54	96	68	15	71	40	79	13	0	53	76
TMEM159	36	12	18	6	0	12	3	8	40	0	6	14
ARHGAP1	1688	774	628	572	160	641	491	640	258	309	552	668
OS9	1998	652	504	444	212	616	529	415	842	245	400	482
PLEKHB2	252	90	217	63	8	139	85	87	64	174	43	90
SEPTIN2	318	109	105	95	31	109	43	105	26	10	88	82
SEPTIN1	56	9	12	0	0	29	10	0	7	0	0	0
ACTR1A	51	26	23	24	6	22	10	26	0	0	5	27
SEPTIN7	547	274	282	215	71	355	167	237	103	134	175	187
CARD14	38	0	23	0	0	10	8	6	5	2	4	3
ARHGAP9	18	3	0	0	3	48	0	3	0	0	0	0
SEPTIN4	23	37	11	4	0	21	7	0	10	13	7	10
TXNDC9	114	75	96	43	9	52	27	54	17	0	35	36
RPS15A	4179	701	727	800	292	1016	1065	635	1038	478	636	552
LOC116513397	0	0	0	0	0	0	0	0	0	0	0	0
EEF1D	7694	814	1059	1177	738	1678	1575	848	2235	548	858	670
TPMT	289	87	80	64	51	173	77	89	35	32	98	46
ZNHIT6	122	30	46	41	10	26	17	42	0	0	42	19
CNNM4	151	24	32	25	9	28	15	25	17	4	28	27
DPY19L4	62	4	7	10	8	28	8	30	0	0	32	16
CNNM2	21	10	22	0	0	7	7	17	12	0	9	18
ZNHIT3	281	27	29	27	19	39	57	25	33	0	16	30
ZNHIT1	326	88	91	116	30	96	95	80	101	55	49	61
LOC116504682	211	133	59	73	12	84	46	76	19	14	32	31
SLC25A18	142	52	131	18	4	98	61	81	92	3	18	44
SLC25A19	198	87	107	178	12	99	85	140	40	40	95	68
CENPT	5	11	0	0	0	7	0	5	0	0	4	3
IPCEF1	41	21	26	10	0	49	16	0	12	0	2	17
NSFL1C	475	45	59	36	39	29	47	26	42	3	21	13
SLC25A13	284	116	230	238	94	230	166	262	155	89	244	362
SLC25A10	349	86	54	63	34	67	84	66	53	19	64	79
SLC25A11	5503	330	367	265	384	316	470	147	831	169	228	138
SLC25A16	294	124	113	68	50	111	48	53	72	42	33	67
SLC25A17	134	71	78	36	14	64	16	42	0	11	72	67
PRR14L	941	300	196	172	102	295	210	187	148	93	166	205
SLC25A15	1134	328	402	430	117	440	469	372	513	127	428	365
TPM2	3011	282	608	290	296	489	749	398	1587	152	271	217
NSRP1	3280	378	428	448	234	471	358	194	570	191	221	195
TPM1	11605	1989	2791	1977	998	2390	1920	1721	2984	934	1428	1270
WNK2	3	2	8	0	2	7	14	3	22	0	2	2
TPM4	1597	604	911	710	177	771	664	590	1458	364	387	527
NKAPD1	275	64	91	38	18	85	43	33	39	20	37	27
ADAT3	36	6	6	7	0	15	5	5	9	0	4	4
ASB10	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505058	0	0	0	0	0	0	2	0	0	0	2	1
RGS21	0	0	0	0	0	0	0	0	0	0	0	0
RGS22	82	0	14	5	2	50	6	17	0	0	7	4
LOC116504812	12	4	3	7	0	7	4	3	0	0	10	4
LOC116521328	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521329	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505629	3445	1504	1652	1543	410	1600	1433	1040	1968	762	2099	1492
LOC116519317	0	0	0	0	0	0	0	0	0	0	0	0
GLCE	916	302	250	320	98	345	143	192	225	153	187	244
LOC116505109	0	1	0	1	0	1	1	1	0	1	0	1
NPFF	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521320	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521321	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521322	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521323	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521324	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521325	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521326	0	0	0	0	0	0	0	0	0	0	0	0
SEPTIN3	0	0	0	0	0	0	0	0	0	0	0	0
EPRS1	2876	966	1212	1263	283	827	623	722	535	449	1247	997
KCTD16	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510024	642	244	131	105	74	261	242	113	67	78	222	125
DDHD2	346	175	138	79	19	160	132	111	84	18	97	134
DDHD1	636	281	272	156	101	459	238	290	207	32	129	199
LOC116522535	589	85	96	77	42	151	122	44	105	2	40	38
LOC116522820	0	0	0	0	0	0	0	0	0	0	0	0
TAX1BP1	2086	817	631	533	280	875	486	720	463	514	542	740
LOC116504538	440	87	93	51	25	88	58	40	118	5	47	53
LOC116504539	207	43	36	36	22	32	26	36	56	4	17	23
LOC116511107	480	142	188	189	0	114	97	0	53	34	179	154
LOC116522793	0	0	0	0	0	0	0	0	0	0	0	0
MPPE1	510	92	145	129	56	148	88	121	84	89	172	95
FAM135A	940	295	364	260	72	466	183	294	108	142	269	287
LOC116504530	207	47	35	32	14	28	21	27	34	2	23	22
PTCHD3	0	0	0	0	0	0	0	0	0	0	0	0
GRAMD4	153	66	81	90	0	63	36	34	60	7	57	52
C12H1orf232	5	0	0	0	0	4	0	0	0	0	0	0
LOC116504534	278	55	55	50	27	54	38	42	81	4	26	40
LOC116504535	131	20	24	17	9	30	16	17	33	0	7	30
PTCHD4	0	0	0	0	0	0	0	0	0	0	0	0
